-12,279,8,453,244,251,89,34,112,122,45,2,39,-221,91,9,28,-296,715,171
-25,151,61,56,165,142,43,1,61,32,34,-21,48,-121,10,2,22,-156,661,117
-19,157,33,73,146,82,11,-5,11,17,29,-28,53,-125,12,6,22,-166,586,117
-22,187,29,90,142,103,47,-8,58,55,27,-28,47,-157,34,10,14,-195,464,78
-13,206,21,123,185,126,46,1,55,53,37,-14,40,-159,32,-7,20,-212,681,103
-6,194,31,75,94,137,56,-47,87,73,12,-48,59,-162,53,6,20,-183,116,103
-8,187,61,58,97,84,42,-23,50,30,13,-44,77,-156,4,8,20,-169,223,103
-23,189,41,45,112,133,61,-24,92,70,18,-66,75,-168,36,9,20,-168,248,103
-22,185,41,57,121,209,82,-11,117,92,21,-47,47,-160,60,10,30,-176,272,193
-1,128,13,0,155,132,30,40,76,62,33,-16,83,-78,11,-7,10,-172,574,66
-26,230,34,55,182,207,67,-23,85,95,35,-52,94,-196,65,1,10,-202,550,66
-7,270,28,76,120,248,128,-60,149,153,19,-57,85,-230,124,9,30,-230,108,193
-7,248,34,82,136,117,33,-53,34,9,24,-39,55,-205,7,4,32,-220,502,217
-6,272,23,91,134,101,29,-44,30,18,23,-47,66,-227,13,-9,32,-239,463,217
-19,254,22,74,154,169,78,-30,92,102,28,-55,83,-219,74,-3,20,-227,394,103
-8,143,94,35,92,159,48,-20,95,105,12,-55,71,-114,46,7,14,-121,49,78
-8,238,73,63,111,100,56,-68,73,62,17,-46,89,-202,42,6,36,-203,251,292
-19,131,35,90,158,70,35,35,46,24,33,-12,44,-98,0,6,20,-155,655,103
-6,134,45,77,139,83,-12,16,-14,-35,28,-15,85,-93,-41,1,22,-143,669,117
-6,392,3,4669,336,179,98,-20,104,114,52,20,68,-315,103,-4,28,-408,878,171
-8,180,62,75,102,96,55,-16,67,60,15,-28,47,-148,44,0,20,-175,205,103
-7,215,25,172,113,146,62,-3,68,91,18,-15,47,-178,77,-8,22,-223,207,117
-7,188,35,123,120,60,-26,-21,-27,-21,21,-14,34,-149,-21,10,22,-195,494,117
-8,109,83,84,101,88,-40,2,-44,-39,16,-9,29,-80,-49,9,14,-130,421,78
-14,131,68,54,133,95,-4,-4,0,6,26,-23,37,-98,-3,9,45,-135,556,409
-7,227,12,94,202,140,70,4,89,68,40,-51,83,-171,48,-6,28,-213,718,171
-18,264,16,111,312,201,67,30,81,81,56,-16,52,-202,56,5,22,-249,1025,117
-16,218,18,103,113,79,12,-26,15,34,18,-49,69,-190,16,-10,22,-216,321,117
-18,231,22,178,143,143,76,12,81,99,26,-11,88,-197,71,-6,14,-243,355,78
-14,239,11,263,191,228,129,115,160,153,37,-10,76,-192,114,10,10,-257,476,66
-7,190,33,329,114,103,19,11,19,20,19,8,41,-153,-3,9,22,-217,370,117
-15,202,16,277,147,315,101,12,129,158,28,-8,41,-164,102,4,28,-230,286,171
-19,279,11,227,175,217,109,16,117,134,32,-18,57,-238,112,4,14,-285,411,78
-27,169,80,47,145,153,66,24,86,58,28,-37,45,-144,34,2,22,-160,483,117
-26,180,47,53,128,113,43,15,45,52,23,-47,54,-158,43,8,14,-171,386,78
-13,217,18,169,201,149,51,22,60,62,40,-5,40,-167,41,-1,14,-229,723,78
-7,155,36,107,103,56,-11,60,-13,9,16,-22,40,-121,1,0,10,-168,323,66
-17,385,10,129,219,201,42,0,45,73,36,-65,64,-335,67,-10,20,-325,620,103
-8,217,25,663,123,151,19,0,19,61,21,16,46,-178,60,1,10,-248,324,66
-13,323,9,265,209,257,165,15,198,206,37,-17,54,-271,164,-7,14,-316,372,78
-9,128,120,71,90,132,74,3,97,104,11,-17,66,-101,63,-10,10,-139,28,66
-8,226,52,56,107,112,77,16,85,66,16,-55,77,-192,38,0,14,-191,211,78
-7,274,17,338,139,177,83,6,104,91,24,1,72,-229,69,1,20,-283,332,103
-22,170,28,0,123,267,93,7,99,118,22,54,59,-146,99,7,32,-249,242,217
-6,67,89,1384,92,225,-26,4,-29,-85,13,20,12,-39,-86,8,45,-120,465,409
-16,282,18,121,162,296,145,8,171,160,29,-36,73,-242,134,9,14,-263,296,78
-20,165,52,99,126,180,58,11,81,64,23,-11,45,-139,37,-9,10,-182,360,66
-8,258,21,176,83,86,53,71,58,36,7,-32,96,-231,30,9,0,-256,75,49
-8,285,25,85,140,121,53,9,55,42,24,-52,61,-241,35,-7,10,-244,425,66
-7,323,21,84,157,156,90,12,95,104,27,-64,84,-275,89,-3,14,-264,366,78
-9,178,113,31,91,196,83,18,130,141,11,-71,73,-150,81,3,10,-135,-46,66
-8,183,96,37,108,77,20,-1,18,33,17,-58,63,-149,24,7,20,-146,301,103
-16,485,3,719,249,251,144,13,147,189,36,-22,99,-432,181,-7,14,-460,385,78
-24,225,32,108,132,79,23,6,24,51,23,-26,41,-201,47,7,10,-228,386,66
-9,167,121,29,107,77,25,11,25,-15,17,-64,62,-135,-22,5,10,-126,392,66
-7,202,46,71,128,32,36,2,40,11,23,-32,74,-162,12,6,22,-186,472,117
-22,231,21,132,196,226,127,26,166,158,38,-12,66,-190,117,10,14,-237,489,78
-20,280,12,348,157,173,105,17,117,96,28,-4,61,-244,86,10,22,-297,407,117
-23,156,49,69,139,95,65,52,78,56,27,-23,51,-130,32,7,20,-166,465,103
-26,155,90,50,88,42,38,80,41,21,10,-46,85,-145,10,-2,28,-154,182,171
-9,124,72,169,92,48,1,-1,2,7,12,2,81,-96,-7,-9,10,-156,243,66
-29,199,79,34,133,135,37,18,41,59,24,-71,97,-179,44,-2,14,-161,393,78
-16,469,3,1274,251,284,137,65,140,171,37,-2,88,-415,165,-7,14,-465,442,78
-16,423,5,0,210,221,153,93,161,172,33,42,70,-374,161,-7,22,-452,360,117
-19,378,7,440,200,245,134,11,140,114,33,-9,86,-334,110,8,20,-374,475,103
-24,373,9,587,74,299,142,105,145,155,3,-21,76,-362,147,10,20,-381,-237,103
-8,305,7,216,443,311,140,142,181,183,70,-8,86,-219,143,7,20,-293,1114,103
-4,252,7,303,233,213,124,23,154,145,45,-22,66,-187,110,9,20,-261,665,103
-30,158,85,55,120,130,70,16,85,54,21,-32,60,-143,32,6,14,-162,340,78
-8,187,58,109,99,137,71,8,78,78,14,-16,32,-156,46,3,22,-192,149,117
